1	0.000	0.000
2	0.000	0.020
3	0.000	0.040
4	0.000	0.060
5	0.000	0.080
6	0.000	0.100
7	0.020	0.000
8	0.020	0.020
9	0.020	0.040
10	0.020	0.060
11	0.020	0.080
12	0.020	0.100
13	0.040	0.000
14	0.040	0.020
15	0.040	0.040
16	0.040	0.060
17	0.040	0.080
18	0.040	0.100
19	0.060	0.000
20	0.060	0.020
21	0.060	0.040
22	0.060	0.060
23	0.060	0.080
24	0.060	0.100
25	0.080	0.000
26	0.080	0.020
27	0.080	0.040
28	0.080	0.060
29	0.080	0.080
30	0.100	0.000
31	0.100	0.020
32	0.100	0.040
33	0.100	0.060
34	0.100	0.080

2  1  7 	0.000
8  2  7 	0.000
3  2  8 	0.000
9  3  8 	0.000
4  3  9 	0.000
10 4  9 	0.000
5  4  10	0.000
11 5  10	0.000
6  5  11	0.000
12 6  11	0.000
8  7  13	0.000
14 8  13	0.000
9  8  14	0.000
15 9  14	0.000
10 9  15	0.000
16 10 15	0.000
11 10 16	0.000
17 11 16	0.000
12 11 17	0.000
18 12 17	0.000
14 13 19	0.000
20 14 19	0.000
15 14 20	0.000
21 15 20	0.000
16 15 21	0.000
22 16 21	0.000
17 16 22	0.000
23 17 22	0.000
18 17 23	0.000
24 18 23	0.000
20 19 25	0.000
26 20 25	0.000
21 20 26	0.000
27 21 26	0.000
22 21 27	0.000
28 22 27	0.000
23 22 28	0.000
29 23 28	0.000
26 25 30	0.000
31 26 30	0.000
27 26 31	0.000
32 27 31	0.000
28 27 32	0.000
33 28 32	0.000
29 28 33	0.000
34 29 33	0.000

1	0.000
2	0.000
3	0.000
4	0.000
5	0.000
6	0.000
7	0.000
13	0.000
19	0.000
25	0.000
30	0.000
23	110.000
24	110.000
29	110.000
34	110.000
